shape,m,n,k,mnk,source,mode_count,modes_available,baseline_tflops,baseline_ms,best_user,best_user_tflops,best_user_ms,ratio_pct
5376x3456x3072,5376,3456,3072,57076088832,candidate_large,4,"library_cublas_gemm,v6,v7,v8",17.6881,6.453625000000001,v8,16.95045,6.73459,95.8296821026566
3456x6144x3072,3456,6144,3072,65229815808,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.9877,6.21603,v8,17.1754,7.595750000000001,81.83555129909423
4608x6144x2304,4608,6144,2304,65229815808,candidate_large,4,"library_cublas_gemm,v6,v7,v8",21.723300000000002,6.005575,v8,17.0184,7.66582,78.34168841750562
6144x3456x3072,6144,3456,3072,65229815808,candidate_large,4,"library_cublas_gemm,v6,v7,v8",17.8482,7.309385,v8,17.23745,7.568379999999999,96.57808630562185
6144x4608x2304,6144,4608,2304,65229815808,candidate_large,4,"library_cublas_gemm,v6,v7,v8",21.730449999999998,6.003584999999999,v8,17.112000000000002,7.62387,78.74664353476345
5376x5376x2304,5376,5376,2304,66588770304,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.9643,6.35259,v8,17.071350000000002,7.80123,81.43057483436128
4096x4096x4096,4096,4096,4096,68719476736,square8192,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",21.722800000000003,6.326943333333333,v8,16.9154,8.125113333333333,77.86933544478612
4608x6912x2304,4608,6912,2304,73383542784,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.81805,7.050095000000001,v8,16.79585,8.73836,80.67926630976484
6912x4608x2304,6912,4608,2304,73383542784,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.899700000000003,7.022455,v8,17.01305,8.626745,81.40332157877863
4608x6144x3072,4608,6144,3072,86973087744,candidate_large,4,"library_cublas_gemm,v6,v7,v8",21.55535,8.069735000000001,v8,17.19395,10.11675,79.76650808268016
6144x4608x3072,6144,4608,3072,86973087744,candidate_large,4,"library_cublas_gemm,v6,v7,v8",21.48105,8.097725,v8,17.2168,10.10325,80.14878229881685
5376x5376x3072,5376,5376,3072,88785027072,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.9224,8.487135,v8,17.1574,10.349499999999999,82.00493251252247
6912x4608x3072,6912,4608,3072,97844723712,candidate_large,4,"library_cublas_gemm,v6,v7,v8",20.8462,9.387385,v8,16.9969,11.513300000000001,81.53476412967352
7680x6144x3840,7680,6144,3840,181193932800,irregular10,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",21.413233333333334,16.92356666666667,v8,17.2564,21.0002,80.58754944372404
8192x8192x8192,8192,8192,8192,549755813888,square8192,10,"library_cublas_gemm,v1,v2,v3,v4,v5,v6,v7,v8,v9",22.68986666666667,48.45836666666667,v8,17.666366666666665,62.2377,77.86016077661685
